station,time_cst,T5cm,T10cm,T20cm,T30cm,T40cm,T50cm,T60cm,T80cm,T100cm,T125cm,T150cm,T175cm,T200cm,T225cm
Fargo,10/2/14 12:00,18.09,15.36,14.49,14.64,14.71,14.68,14.6,14.28,13.96,13.43,12.92,12.37,11.66,11.16
Fargo,10/2/14 13:00,18.96,16.08,14.7,14.66,14.72,14.68,14.6,14.25,13.92,13.38,12.86,12.3,11.66,11.15
Fargo,10/2/14 14:00,18.59,16.45,14.89,14.7,14.72,14.65,14.56,14.2,13.85,13.3,12.78,12.22,11.65,11.1
Fargo,10/2/14 15:00,19.82,17.01,15.1,14.73,14.71,14.65,14.54,14.18,13.8,13.26,12.71,12.12,11.65,11.13
Fargo,10/2/14 16:00,19.09,17.14,15.24,14.74,14.68,14.59,14.49,14.1,13.73,13.14,12.6,11.97,11.64,11.08
Fargo,10/2/14 17:00,17.29,16.82,15.3,14.78,14.65,14.56,14.44,14.08,13.67,13.12,12.6,12.08,11.58,10.98
Fargo,10/2/14 18:00,15.8,16.2,15.3,14.81,14.67,14.57,14.45,14.08,13.67,13.13,12.62,12.09,11.62,11.02
Fargo,10/2/14 19:00,14.64,15.56,15.21,14.78,14.65,14.55,14.43,14.09,13.69,13.14,12.63,12.11,11.62,11.04
Fargo,10/2/14 20:00,13.85,15.06,15.14,14.79,14.64,14.54,14.41,14.09,13.69,13.13,12.62,12.08,11.64,11.05
Fargo,10/2/14 21:00,13.11,14.6,15.04,14.8,14.65,14.53,14.41,14.1,13.7,13.14,12.61,12.09,11.63,11.05
Fargo,10/2/14 22:00,12.48,14.15,14.9,14.77,14.63,14.51,14.39,14.09,13.7,13.16,12.62,12.08,11.62,11.04
Fargo,10/2/14 23:00,11.93,13.75,14.77,14.76,14.64,14.52,14.4,14.11,13.73,13.18,12.65,12.11,11.64,11.07
Fargo,10/3/14 0:00,11.53,13.41,14.64,14.75,14.65,14.53,14.41,14.13,13.74,13.2,12.67,12.13,11.65,11.09
