year,Argentina_area_has,Argentina_production_ton,Argentina_yield_hg_ha,Australia_area_has,Australia_production_ton,Australia_yield_hg_ha,Canada_area_has,Canada_production_ton,Canada_yield_hg_ha,China_area_has,China_production_ton,China_yield_hg_ha,France_area_has,France_production_ton,France_yield_hg_ha,Germany_area_has,Germany_production_ton,Germany_yield_hg_ha,Mexico_area_has,Mexico_production_ton,Mexico_yield_hg_ha,UK_area_has,UK_production_ton,UK_yield_hg_ha,US_area_has,US_production_ton,US_yield_hg_ha
1961,4420900,5725000,12950,5958110,6727190,11291,10245000,7713000,7529,25567759,14294248,5591,3997300,9573520,23950,1774630,5076710,28607,836538,1401910,16758,739000,2614000,35372,20870000,33539000,16070
1962,3744700,5700000,15222,6664680,8352910,12533,10853000,15393000,14183,24071363,16707100,6941,4570000,14053800,30752,1742400,5906470,33898,747728,1455260,19462,913000,3974000,43527,17680000,29718000,16809
1963,5676000,8940000,15751,6666680,8924460,13387,11156000,19691000,17651,23764512,18493739,7782,3849500,10249000,26624,1808210,6135980,33934,819210,1702990,20788,780000,3046000,39051,18415000,31211900,16949
1964,6135400,11260000,18353,7251500,10037000,13841,12018000,16349000,13604,25391511,20859709,8215,4388200,13837700,31534,1880080,6551200,34845,818325,2203070,26922,893000,3793000,42475,20138000,34928000,17344
1965,4601200,6079000,13212,7087980,7067060,9970,11453000,17674000,15432,24696119,25243492,10222,4520000,14760000,32655,1902600,6149340,32321,858259,2150350,25055,1026000,4171000,40653,20056000,35805000,17853
1966,5213600,6247000,11982,8426760,12699300,15070,12016000,22516800,18739,23908507,25308507,10586,3992300,11296600,28296,1872840,6053960,32325,730793,1647370,22542,906174,3475650,38355,20077400,35513900,17689
1967,5811600,7320000,12596,9081640,7546690,8310,12189300,16136900,13239,25285891,28508864,11275,3928900,14287500,36365,1947140,7830620,40216,778374,2122390,27267,933214,3903810,41832,23614300,41030800,17375
1968,5837200,5740000,9833,10845300,14804100,13650,11907900,17689000,14855,24640716,27472118,11149,4089700,14984900,36641,2033860,8575080,42162,790646,2080730,26317,978269,3470000,35471,22162300,42365400,19116
1969,5191300,7020000,13523,9485960,10546200,11118,10101400,18267700,18084,25141660,27294950,10856,4034200,14446000,35809,2054490,7987160,38877,841279,2326060,27649,833205,3364750,40383,19079000,39264000,20580
1970,3700800,4920000,13294,6478420,7889920,12179,5051780,9024250,17864,25435003,29188664,11476,3696000,12649000,34223,2091560,7794040,37264,886169,2676450,30202,1010390,4237460,41939,17629500,36784000,20865
1971,4294640,5440000,12667,7137850,8606000,12057,7853500,14412300,18351,25615036,32577346,12718,3947000,15241000,38614,2177680,9631770,44230,614180,1830850,29810,1097430,4816560,43889,19297200,44052800,22829
