country,year,variable,value
Afghanistan,2005,Population mid-year estimates (millions),25.07
Afghanistan,2005,Population mid-year estimates for males (millions),12.97
Afghanistan,2005,Population mid-year estimates for females (millions),12.1
Afghanistan,2005,Sex ratio (males per 100 females),107.2
Afghanistan,2005,Population aged 0 to 14 years old (percentage),47.6
Afghanistan,2005,Population aged 60+ years old (percentage),3.6
Afghanistan,2005,Population density,38.4
Afghanistan,2010,Population mid-year estimates (millions),28.8
Afghanistan,2010,Population mid-year estimates for males (millions),14.8
Afghanistan,2010,Population mid-year estimates for females (millions),14.01
Afghanistan,2010,Sex ratio (males per 100 females),105.7
Afghanistan,2010,Population aged 0 to 14 years old (percentage),47.8
Afghanistan,2010,Population aged 60+ years old (percentage),3.9
Afghanistan,2010,Population density,44.1
Afghanistan,2015,Population mid-year estimates (millions),33.74
Afghanistan,2015,Population mid-year estimates for males (millions),17.39
Afghanistan,2015,Population mid-year estimates for females (millions),16.35
Afghanistan,2015,Sex ratio (males per 100 females),106.4
Afghanistan,2015,Population aged 0 to 14 years old (percentage),44.5
Afghanistan,2015,Population aged 60+ years old (percentage),4
Afghanistan,2015,Population density,51.7
Afghanistan,2015,Surface area (thousand km2),653
Afghanistan,2018,Population mid-year estimates (millions),36.37
Afghanistan,2018,Population mid-year estimates for males (millions),18.74
Afghanistan,2018,Population mid-year estimates for females (millions),17.64
Afghanistan,2018,Sex ratio (males per 100 females),106.2
Afghanistan,2018,Population aged 0 to 14 years old (percentage),42.6
Afghanistan,2018,Population aged 60+ years old (percentage),4.2
Afghanistan,2018,Population density,55.7
Albania,2005,Population mid-year estimates (millions),3.08
Albania,2005,Population mid-year estimates for males (millions),1.54
Albania,2005,Population mid-year estimates for females (millions),1.54
Albania,2005,Sex ratio (males per 100 females),100.6
Albania,2005,Population aged 0 to 14 years old (percentage),26.5
Albania,2005,Population aged 60+ years old (percentage),12.3
Albania,2005,Population density,112.4
Albania,2010,Population mid-year estimates (millions),2.94
Albania,2010,Population mid-year estimates for males (millions),1.48
Albania,2010,Population mid-year estimates for females (millions),1.47
Albania,2010,Sex ratio (males per 100 females),100.7
Albania,2010,Population aged 0 to 14 years old (percentage),22.5
Albania,2010,Population aged 60+ years old (percentage),15
Albania,2010,Population density,107.3
Albania,2015,Population mid-year estimates (millions),2.92
Albania,2015,Population mid-year estimates for males (millions),1.48
Albania,2015,Population mid-year estimates for females (millions),1.45
Albania,2015,Sex ratio (males per 100 females),102
Albania,2015,Population aged 0 to 14 years old (percentage),18
Albania,2015,Population aged 60+ years old (percentage),17.8
Albania,2015,Population density,106.7
Albania,2015,Surface area (thousand km2),29
Albania,2018,Population mid-year estimates (millions),2.93
Albania,2018,Population mid-year estimates for males (millions),1.48
Albania,2018,Population mid-year estimates for females (millions),1.45
Albania,2018,Sex ratio (males per 100 females),101.8
Albania,2018,Population aged 0 to 14 years old (percentage),17.1
Albania,2018,Population aged 60+ years old (percentage),19.7
Albania,2018,Population density,107.1
Algeria,2005,Population mid-year estimates (millions),33.29
Algeria,2005,Population mid-year estimates for males (millions),16.84
Algeria,2005,Population mid-year estimates for females (millions),16.45
Algeria,2005,Sex ratio (males per 100 females),102.3
Algeria,2005,Population aged 0 to 14 years old (percentage),29.1
Algeria,2005,Population aged 60+ years old (percentage),7
Algeria,2005,Population density,14
Algeria,2010,Population mid-year estimates (millions),36.12
Algeria,2010,Population mid-year estimates for males (millions),18.23
