RecordNum,Date Time(UTC),P4_mb,P1_mb,T1_C,RH1,T_CS215,RH_CS215,Vbat,N1Cts,N1ET_sec,N1T_C,N1RH
1, 2019/12/01 00:00:00,961.45,961.4,7.2,13.3,4.7,50.9,12.802,2364,3601,10.5,0
2, 2019/12/01 01:00:00,961.79,961.6,6.4,12.6,3.8,51.4,12.761,2282,3599,9.3,0
3, 2019/12/01 02:00:00,961.77,961.6,4.8,12.1,2.6,57.3,12.729,2283,3600,7.7,0
4, 2019/12/01 03:00:00,961.97,961.9,4.2,11.9,2.3,60,12.71,2238,3600,7,0
5, 2019/12/01 04:00:00,962.73,962.6,3.9,11.8,1.8,67.9,12.692,2333,3600,6.5,0
6, 2019/12/01 05:00:00,963.12,963.1,3.3,11.7,1.6,69.8,12.677,2287,3600,6,0
7, 2019/12/01 06:00:00,963.86,963.9,3.4,12.3,1.8,66.3,12.672,2338,3600,5.9,0
8, 2019/12/01 07:00:00,964.76,964.7,3.5,12.9,1.6,69.8,12.663,2300,3600,5.9,0
9, 2019/12/01 08:00:00,965.42,965.3,3.1,13.4,0.9,77.6,12.652,2199,3600,5.5,0
10, 2019/12/01 09:00:00,967.44,967.3,3.3,13.5,1.8,65.3,12.645,2201,3600,5.7,0
11, 2019/12/01 10:00:00,968.47,968.4,3.4,13.6,1.3,64.2,12.638,2179,3600,5.7,0
12, 2019/12/01 11:00:00,969.67,969.5,3,13.4,0.7,64.6,12.629,2197,3601,5.5,0
13, 2019/12/01 12:00:00,971.37,971.2,2.2,12.9,0.4,65.4,12.617,2226,3600,4.8,0
14, 2019/12/01 13:00:00,972.89,972.7,2.2,12.9,0.2,65.1,12.605,2198,3600,4.7,0
15, 2019/12/01 14:00:00,973.52,973.4,1.6,12.9,-0.6,77.8,12.622,2073,3600,4.1,0
16, 2019/12/01 15:00:00,974.47,974.4,1.8,13.1,0.2,67.5,12.639,2072,3600,4.2,0
17, 2019/12/01 16:00:00,975.59,975.6,2.6,13.4,0.8,62.1,12.835,2133,3600,4.8,0
